Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,tenure_display,Postal District,Market Segment,Floor Level,postal_sector,price_psf,comparison_key
REGENT GROVE,"1,100,000","1,173.28",938,May-24,CHOA CHU KANG NORTH 7,Resale,Strata,109.0,"10,092",-,Condominium,1,99 yrs lease commencing from 1997,23,Outside Central Region,06 to 10,23,938,Private-Condominium-99 yrs lease commencing from 1997
FOREST WOODS,"1,870,000",947.23,"1,974",May-24,LORONG LEW LIAN,Resale,Strata,88.0,"21,250",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,06 to 10,19,1974,Private-Condominium-99 yrs lease commencing from 2016
RIVER PLACE,"2,650,000","1,431.61","1,851",May-24,HAVELOCK ROAD,Resale,Strata,133.0,"19,925",-,Condominium,1,99 yrs lease commencing from 1995,3,Rest of Central Region,06 to 10,3,1851,Private-Condominium-99 yrs lease commencing from 1995
THE LAKEFRONT RESIDENCES,"1,265,000",721.19,"1,754",May-24,LAKESIDE DRIVE,Resale,Strata,67.0,"18,881",-,Condominium,1,99 yrs lease commencing from 2010,22,Outside Central Region,06 to 10,22,1754,Private-Condominium-99 yrs lease commencing from 2010
SKYWATERS RESIDENCES,"47,342,000","7,760.84","6,100",May-24,PRINCE EDWARD ROAD,New Sale,Strata,721.0,"65,662",-,Apartment,1,99 yrs lease commencing from 2023,1,Core Central Region,56 to 60,1,6100,Private-Apartment-99 yrs lease commencing from 2023
KUIE PONG LOFT,"3,608,000","1,453.14","2,483",May-24,ROBIN WALK,Resale,Strata,135.0,"26,726",-,Apartment,1,Freehold,10,Core Central Region,01 to 05,10,2483,Private-Apartment-Freehold
IVORY HEIGHTS,"1,750,000","1,700.71","1,029",May-24,JURONG EAST STREET 13,Resale,Strata,158.0,"11,076",-,Condominium,1,100 yrs lease commencing from 1986,22,Outside Central Region,06 to 10,22,1029,Private-Condominium-100 yrs lease commencing from 1986
PARC BOTANNIA,"2,038,000","1,280.92","1,591",May-24,FERNVALE STREET,Resale,Strata,119.0,"17,126",-,Condominium,1,99 yrs lease commencing from 2016,28,Outside Central Region,11 to 15,28,1591,Private-Condominium-99 yrs lease commencing from 2016
SEASTRAND,"770,000",581.26,"1,325",May-24,PASIR RIS LINK,Resale,Strata,54.0,"14,259",-,Condominium,1,99 yrs lease commencing from 2011,18,Outside Central Region,11 to 15,18,1325,Private-Condominium-99 yrs lease commencing from 2011
THE LANDMARK,"1,960,000",678.13,"2,890",May-24,CHIN SWEE ROAD,New Sale,Strata,63.0,"31,111",-,Condominium,1,99 yrs lease commencing from 2020,3,Rest of Central Region,31 to 35,3,2890,Private-Condominium-99 yrs lease commencing from 2020
SPOTTISWOODE 18,"1,200,000",753.48,"1,593",May-24,SPOTTISWOODE PARK ROAD,Resale,Strata,70.0,"17,143",-,Apartment,1,Freehold,2,Rest of Central Region,01 to 05,2,1593,Private-Apartment-Freehold
AMBER PARK,"2,222,222",742.72,"2,992",May-24,AMBER GARDENS,Sub Sale,Strata,69.0,"32,206",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20,15,2992,Private-Condominium-Freehold
AMBER PARK,"2,210,000",742.72,"2,976",May-24,AMBER GARDENS,Sub Sale,Strata,69.0,"32,029",-,Condominium,1,Freehold,15,Rest of Central Region,16 to 20,15,2976,Private-Condominium-Freehold
THE POIZ RESIDENCES,"2,400,000","1,151.75","2,084",May-24,MEYAPPA CHETTIAR ROAD,Resale,Strata,107.0,"22,430",-,Apartment,1,99 yrs lease commencing from 2014,13,Rest of Central Region,11 to 15,13,2084,Private-Apartment-99 yrs lease commencing from 2014
HILLOCK GREEN,"2,450,000","1,184.04","2,069",May-24,LENTOR CENTRAL,New Sale,Strata,110.0,"22,273",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,06 to 10,26,2069,Private-Apartment-99 yrs lease commencing from 2022
THE TRILINQ,"2,190,000","1,356.26","1,615",May-24,JALAN LEMPENG,Resale,Strata,126.0,"17,381",-,Condominium,1,99 yrs lease commencing from 2012,5,Outside Central Region,11 to 15,5,1615,Private-Condominium-99 yrs lease commencing from 2012
TREASURE AT TAMPINES,"2,770,000","1,722.24","1,608",May-24,TAMPINES LANE,Resale,Strata,160.0,"17,313",-,Condominium,1,99 yrs lease commencing from 2018,18,Outside Central Region,01 to 05,18,1608,Private-Condominium-99 yrs lease commencing from 2018
BELLA VISTA,"853,000",592.02,"1,441",May-24,SOMMERVILLE ROAD,Resale,Strata,55.0,"15,509",-,Apartment,1,Freehold,13,Outside Central Region,01 to 05,13,1441,Private-Apartment-Freehold
PERFECT TEN,"4,359,000","1,280.92","3,403",May-24,BUKIT TIMAH ROAD,New Sale,Strata,119.0,"36,630",-,Apartment,1,Freehold,10,Core Central Region,21 to 25,10,3403,Private-Apartment-Freehold
LENTOR HILLS RESIDENCES,"2,402,000","1,097.93","2,188",May-24,LENTOR HILLS ROAD,New Sale,Strata,102.0,"23,549",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,16 to 20,26,2188,Private-Apartment-99 yrs lease commencing from 2022
LENTOR HILLS RESIDENCES,"1,633,000",721.19,"2,264",May-24,LENTOR HILLS ROAD,New Sale,Strata,67.0,"24,373",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,16 to 20,26,2264,Private-Apartment-99 yrs lease commencing from 2022
LENTOR HILLS RESIDENCES,"2,120,000",958,"2,213",May-24,LENTOR HILLS ROAD,New Sale,Strata,89.0,"23,820",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,21 to 25,26,2213,Private-Apartment-99 yrs lease commencing from 2022
PEOPLE'S GARDEN,"1,408,888","1,248.62","1,128",May-24,LORONG 1 REALTY PARK,Resale,Strata,116.0,"12,146",-,Apartment,1,999 yrs lease commencing from 1879,19,Outside Central Region,01 to 05,19,1128,Private-Apartment-999 yrs lease commencing from 1879
LANDBAY CONDOMINIUM,"2,100,000","1,237.86","1,696",May-24,JALAN HAJIJAH,Resale,Strata,115.0,"18,261",-,Condominium,1,Freehold,16,Outside Central Region,01 to 05,16,1696,Private-Condominium-Freehold
THE HILLIER,"785,000",548.96,"1,430",May-24,HILLVIEW RISE,Resale,Strata,51.0,"15,392",-,Apartment,1,99 yrs lease commencing from 2011,23,Outside Central Region,06 to 10,23,1430,Private-Apartment-99 yrs lease commencing from 2011
LENTOR MANSION,"2,886,000","1,227.1","2,352",May-24,LENTOR GARDENS,New Sale,Strata,114.0,"25,316",-,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,16 to 20,26,2352,Private-Apartment-99 yrs lease commencing from 2023
THE GARDEN RESIDENCES,"1,260,000",688.9,"1,829",May-24,SERANGOON NORTH VIEW,Resale,Strata,64.0,"19,688",-,Apartment,1,99 yrs lease commencing from 2017,19,Outside Central Region,06 to 10,19,1829,Private-Apartment-99 yrs lease commencing from 2017
WATERTOWN,"960,000",602.78,"1,593",May-24,PUNGGOL CENTRAL,Resale,Strata,56.0,"17,143",-,Apartment,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15,19,1593,Private-Apartment-99 yrs lease commencing from 2011
PARC SOPHIA,"1,273,000",839.59,"1,516",May-24,ADIS ROAD,Resale,Strata,78.0,"16,321",-,Apartment,1,Freehold,9,Core Central Region,01 to 05,9,1516,Private-Apartment-Freehold
COSTA DEL SOL,"2,100,000","1,237.86","1,696",May-24,BAYSHORE ROAD,Resale,Strata,115.0,"18,261",-,Condominium,1,99 yrs lease commencing from 1997,16,Outside Central Region,01 to 05,16,1696,Private-Condominium-99 yrs lease commencing from 1997
THE MINTON,"1,420,000",979.52,"1,450",May-24,HOUGANG STREET 11,Resale,Strata,91.0,"15,604",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,06 to 10,19,1450,Private-Condominium-99 yrs lease commencing from 2007
THE MINTON,"945,000",710.42,"1,330",May-24,HOUGANG STREET 11,Resale,Strata,66.0,"14,318",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,01 to 05,19,1330,Private-Condominium-99 yrs lease commencing from 2007
LANGSTON VILLE,"1,860,000",936.47,"1,986",May-24,KIM YAM ROAD,Resale,Strata,87.0,"21,379",-,Apartment,1,999 yrs lease commencing from 1841,9,Core Central Region,01 to 05,9,1986,Private-Apartment-999 yrs lease commencing from 1841
RIVERSIDE MELODIES,"1,730,000","1,076.4","1,607",May-24,ST. MICHAEL'S ROAD,Resale,Strata,100.0,"17,300",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10,12,1607,Private-Apartment-Freehold
E MAISON,"1,538,000",936.47,"1,642",May-24,BRADDELL ROAD,Resale,Strata,87.0,"17,678",-,Apartment,1,Freehold,13,Outside Central Region,01 to 05,13,1642,Private-Apartment-Freehold
PENROSE,"1,515,000",710.42,"2,133",May-24,SIMS DRIVE,Sub Sale,Strata,66.0,"22,955",-,Apartment,1,99 yrs lease commencing from 2019,14,Rest of Central Region,11 to 15,14,2133,Private-Apartment-99 yrs lease commencing from 2019
KOVAN MELODY,"2,315,889","1,313.21","1,764",May-24,KOVAN ROAD,Resale,Strata,122.0,"18,983",-,Condominium,1,99 yrs lease commencing from 2004,19,Outside Central Region,01 to 05,19,1764,Private-Condominium-99 yrs lease commencing from 2004
DAKOTA RESIDENCES,"2,150,000","1,291.68","1,664",May-24,DAKOTA CRESCENT,Resale,Strata,120.0,"17,917",-,Condominium,1,99 yrs lease commencing from 2007,14,Rest of Central Region,01 to 05,14,1664,Private-Condominium-99 yrs lease commencing from 2007
RIVERFRONT RESIDENCES,"1,130,000",613.55,"1,842",May-24,HOUGANG AVENUE 7,Sub Sale,Strata,57.0,"19,825",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,11 to 15,19,1842,Private-Apartment-99 yrs lease commencing from 2018
NORMANTON PARK,"1,550,000",731.95,"2,118",May-24,NORMANTON PARK,Sub Sale,Strata,68.0,"22,794",-,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,16 to 20,5,2118,Private-Apartment-99 yrs lease commencing from 2019
OPTIMA @ TANAH MERAH,"1,380,000","1,119.46","1,233",May-24,TANAH MERAH KECHIL AVENUE,Resale,Strata,104.0,"13,269",-,Condominium,1,99 yrs lease commencing from 2008,16,Outside Central Region,01 to 05,16,1233,Private-Condominium-99 yrs lease commencing from 2008
THE TRUMPS,"1,600,000",947.23,"1,689",May-24,JALAN KEMBANGAN,Resale,Strata,88.0,"18,182",-,Condominium,1,99 yrs lease commencing from 2000,14,Outside Central Region,01 to 05,14,1689,Private-Condominium-99 yrs lease commencing from 2000
MIDTOWN RESIDENCES,"1,070,000",656.6,"1,630",May-24,UPPER SERANGOON ROAD,Resale,Strata,61.0,"17,541",-,Apartment,1,99 yrs lease commencing from 2013,19,Outside Central Region,06 to 10,19,1630,Private-Apartment-99 yrs lease commencing from 2013
16 @ AMBER,"858,000",419.8,"2,044",May-24,AMBER ROAD,Resale,Strata,39.0,"22,000",-,Apartment,1,Freehold,15,Rest of Central Region,06 to 10,15,2044,Private-Apartment-Freehold
THE WOODLEIGH RESIDENCES,"2,410,000",958,"2,516",May-24,BIDADARI PARK DRIVE,Sub Sale,Strata,89.0,"27,079",-,Apartment,1,99 yrs lease commencing from 2017,13,Rest of Central Region,11 to 15,13,2516,Private-Apartment-99 yrs lease commencing from 2017
OASIS GARDEN,"2,560,000","1,474.67","1,736",May-24,JALAN BUNGA RAMPAI,Resale,Strata,137.0,"18,686",-,Condominium,1,Freehold,19,Rest of Central Region,16 to 20,19,1736,Private-Condominium-Freehold
TREE HOUSE,"1,200,000",861.12,"1,394",May-24,CHESTNUT AVENUE,Resale,Strata,80.0,"15,000",-,Condominium,1,99 yrs lease commencing from 2009,23,Outside Central Region,06 to 10,23,1394,Private-Condominium-99 yrs lease commencing from 2009
JADESCAPE,"1,390,000",645.84,"2,152",May-24,SHUNFU ROAD,Resale,Strata,60.0,"23,167",-,Condominium,1,99 yrs lease commencing from 2018,20,Rest of Central Region,11 to 15,20,2152,Private-Condominium-99 yrs lease commencing from 2018
DUO RESIDENCES,"1,550,000",721.19,"2,149",May-24,FRASER STREET,Resale,Strata,67.0,"23,134",-,Apartment,1,99 yrs lease commencing from 2011,7,Core Central Region,16 to 20,7,2149,Private-Apartment-99 yrs lease commencing from 2011
TERRASSE,"2,450,000","1,819.12","1,347",May-24,TERRASSE LANE,Resale,Strata,169.0,"14,497",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05,19,1347,Private-Condominium-99 yrs lease commencing from 2010
THE REGENCY AT TIONG BAHRU,"2,280,000",958,"2,380",May-24,CHAY YAN STREET,Resale,Strata,89.0,"25,618",-,Condominium,1,Freehold,3,Rest of Central Region,11 to 15,3,2380,Private-Condominium-Freehold
BAYSHORE PARK,"1,290,000",936.47,"1,378",May-24,BAYSHORE ROAD,Resale,Strata,87.0,"14,828",-,Condominium,1,99 yrs lease commencing from 1982,16,Outside Central Region,11 to 15,16,1378,Private-Condominium-99 yrs lease commencing from 1982
SKYSUITES@ANSON,"850,000",365.98,"2,323",May-24,ENGGOR STREET,Resale,Strata,34.0,"25,000",-,Apartment,1,99 yrs lease commencing from 2008,2,Core Central Region,11 to 15,2,2323,Private-Apartment-99 yrs lease commencing from 2008
GRAND DUCHESS AT ST PATRICK'S,"5,530,000","3,218.44","1,718",May-24,ST. PATRICK'S ROAD,Resale,Strata,299.0,"18,495",-,Condominium,1,Freehold,15,Outside Central Region,01 to 05,15,1718,Private-Condominium-Freehold
COMMONWEALTH TOWERS,"1,590,000",699.66,"2,273",May-24,COMMONWEALTH AVENUE,Resale,Strata,65.0,"24,462",-,Condominium,1,99 yrs lease commencing from 2013,3,Rest of Central Region,36 to 40,3,2273,Private-Condominium-99 yrs lease commencing from 2013
PALM ISLES,"960,000",807.3,"1,189",May-24,FLORA DRIVE,Resale,Strata,75.0,"12,800",-,Condominium,1,99 yrs lease commencing from 2011,17,Outside Central Region,01 to 05,17,1189,Private-Condominium-99 yrs lease commencing from 2011
CASA MERAH,"1,760,000","1,227.1","1,434",May-24,TANAH MERAH KECHIL AVENUE,Resale,Strata,114.0,"15,439",-,Apartment,1,99 yrs lease commencing from 2006,16,Outside Central Region,01 to 05,16,1434,Private-Apartment-99 yrs lease commencing from 2006
CITYSCAPE @FARRER PARK,"1,680,000",990.29,"1,696",May-24,MERGUI ROAD,Resale,Strata,92.0,"18,261",-,Condominium,1,Freehold,8,Rest of Central Region,16 to 20,8,1696,Private-Condominium-Freehold
D'NEST,"2,100,000","1,410.08","1,489",May-24,PASIR RIS GROVE,Resale,Strata,131.0,"16,031",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,06 to 10,18,1489,Private-Condominium-99 yrs lease commencing from 2010
KEMBANGAN SUITES,"905,000",559.73,"1,617",May-24,JALAN MASJID,Resale,Strata,52.0,"17,404",-,Apartment,1,Freehold,14,Outside Central Region,01 to 05,14,1617,Private-Apartment-Freehold
HIGH PARK RESIDENCES,"1,048,000",635.08,"1,650",May-24,FERNVALE ROAD,Resale,Strata,59.0,"17,763",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,21 to 25,28,1650,Private-Apartment-99 yrs lease commencing from 2014
CLYDES RESIDENCE,"895,000",570.49,"1,569",May-24,MERGUI ROAD,Resale,Strata,53.0,"16,887",-,Apartment,1,Freehold,8,Rest of Central Region,06 to 10,8,1569,Private-Apartment-Freehold
NORMANTON PARK,"2,800,000","1,334.74","2,098",May-24,NORMANTON PARK,Sub Sale,Strata,124.0,"22,581",-,Apartment,1,99 yrs lease commencing from 2019,5,Rest of Central Region,06 to 10,5,2098,Private-Apartment-99 yrs lease commencing from 2019
THE CREEK @ BUKIT,"2,488,000","1,711.48","1,454",May-24,TOH TUCK ROAD,Resale,Strata,159.0,"15,648",-,Condominium,1,Freehold,21,Rest of Central Region,01 to 05,21,1454,Private-Condominium-Freehold
RIVERSIDE 48,"1,400,000",721.19,"1,941",May-24,ROBERTSON QUAY,Resale,Strata,67.0,"20,896",-,Apartment,1,Freehold,9,Core Central Region,06 to 10,9,1941,Private-Apartment-Freehold
THE WATERINA,"3,200,000","1,754.53","1,824",May-24,LORONG 40 GEYLANG,Resale,Strata,163.0,"19,632",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05,14,1824,Private-Apartment-Freehold
THE TEMBUSU,"1,020,000",645.84,"1,579",May-24,TAMPINES ROAD,Resale,Strata,60.0,"17,000",-,Condominium,1,Freehold,19,Outside Central Region,16 to 20,19,1579,Private-Condominium-Freehold
CANBERRA RESIDENCES,"1,388,000","1,323.97","1,048",May-24,CANBERRA DRIVE,Resale,Strata,123.0,"11,285",-,Condominium,1,99 yrs lease commencing from 2010,27,Outside Central Region,01 to 05,27,1048,Private-Condominium-99 yrs lease commencing from 2010
THE MINTON,"2,650,000","1,754.53","1,510",May-24,HOUGANG STREET 11,Resale,Strata,163.0,"16,258",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,11 to 15,19,1510,Private-Condominium-99 yrs lease commencing from 2007
TERRASSE,"1,308,000",958,"1,365",May-24,TERRASSE LANE,Resale,Strata,89.0,"14,697",-,Condominium,1,99 yrs lease commencing from 2010,19,Outside Central Region,01 to 05,19,1365,Private-Condominium-99 yrs lease commencing from 2010
HIGH PARK RESIDENCES,"1,208,000",893.41,"1,352",May-24,FERNVALE ROAD,Resale,Strata,83.0,"14,554",-,Apartment,1,99 yrs lease commencing from 2014,28,Outside Central Region,01 to 05,28,1352,Private-Apartment-99 yrs lease commencing from 2014
AFFINITY AT SERANGOON,"840,000",473.62,"1,774",May-24,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,44.0,"19,091",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10,19,1774,Private-Apartment-99 yrs lease commencing from 2018
GEM RESIDENCES,"1,080,000",570.49,"1,893",May-24,LORONG 5 TOA PAYOH,Sub Sale,Strata,53.0,"20,377",-,Condominium,1,99 yrs lease commencing from 2015,12,Rest of Central Region,36 to 40,12,1893,Private-Condominium-99 yrs lease commencing from 2015
RIVERBANK @ FERNVALE,"1,550,000","1,044.11","1,485",May-24,FERNVALE CLOSE,Resale,Strata,97.0,"15,979",-,Condominium,1,99 yrs lease commencing from 2013,28,Outside Central Region,11 to 15,28,1485,Private-Condominium-99 yrs lease commencing from 2013
THE FLORENCE RESIDENCES,"1,210,000",667.37,"1,813",May-24,HOUGANG AVENUE 2,Sub Sale,Strata,62.0,"19,516",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,01 to 05,19,1813,Private-Apartment-99 yrs lease commencing from 2018
THE LANDMARK,"1,950,000",678.13,"2,876",May-24,CHIN SWEE ROAD,New Sale,Strata,63.0,"30,952",-,Condominium,1,99 yrs lease commencing from 2020,3,Rest of Central Region,26 to 30,3,2876,Private-Condominium-99 yrs lease commencing from 2020
HILLOCK GREEN,"2,254,000","1,054.87","2,137",May-24,LENTOR CENTRAL,New Sale,Strata,98.0,"23,000",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,11 to 15,26,2137,Private-Apartment-99 yrs lease commencing from 2022
HILLOCK GREEN,"1,539,000",656.6,"2,344",May-24,LENTOR CENTRAL,New Sale,Strata,61.0,"25,230",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,16 to 20,26,2344,Private-Apartment-99 yrs lease commencing from 2022
HILLOCK GREEN,"1,663,000",710.42,"2,341",May-24,LENTOR CENTRAL,New Sale,Strata,66.0,"25,197",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,16 to 20,26,2341,Private-Apartment-99 yrs lease commencing from 2022
LENTOR HILLS RESIDENCES,"2,087,000",968.76,"2,154",May-24,LENTOR HILLS ROAD,New Sale,Strata,90.0,"23,189",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,16 to 20,26,2154,Private-Apartment-99 yrs lease commencing from 2022
LENTOR HILLS RESIDENCES,"2,114,000",968.76,"2,182",May-24,LENTOR HILLS ROAD,New Sale,Strata,90.0,"23,489",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,16 to 20,26,2182,Private-Apartment-99 yrs lease commencing from 2022
LENTOR HILLS RESIDENCES,"1,786,000",753.48,"2,370",May-24,LENTOR HILLS ROAD,New Sale,Strata,70.0,"25,514",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,16 to 20,26,2370,Private-Apartment-99 yrs lease commencing from 2022
19 NASSIM,"5,070,000","1,474.67","3,438",May-24,NASSIM HILL,New Sale,Strata,137.0,"37,007",-,Apartment,1,99 yrs lease commencing from 2019,10,Core Central Region,01 to 05,10,3438,Private-Apartment-99 yrs lease commencing from 2019
J'DEN,"3,588,000","1,485.43","2,415",May-24,JURONG EAST CENTRAL 1,New Sale,Strata,138.0,"26,000",-,Apartment,1,99 yrs lease commencing from 2023,22,Outside Central Region,16 to 20,22,2415,Private-Apartment-99 yrs lease commencing from 2023
LENTOR MODERN,"2,480,000","1,130.22","2,194",May-24,LENTOR CENTRAL,New Sale,Strata,105.0,"23,619",-,Apartment,1,99 yrs lease commencing from 2021,26,Outside Central Region,21 to 25,26,2194,Private-Apartment-99 yrs lease commencing from 2021
LENTOR HILLS RESIDENCES,"2,051,000",968.76,"2,117",May-24,LENTOR HILLS ROAD,New Sale,Strata,90.0,"22,789",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,11 to 15,26,2117,Private-Apartment-99 yrs lease commencing from 2022
LENTOR HILLS RESIDENCES,"2,078,000",968.76,"2,145",May-24,LENTOR HILLS ROAD,New Sale,Strata,90.0,"23,089",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,16 to 20,26,2145,Private-Apartment-99 yrs lease commencing from 2022
LENTORIA,"1,594,000",731.95,"2,178",May-24,LENTOR HILLS ROAD,New Sale,Strata,68.0,"23,441",-,Condominium,1,99 yrs lease commencing from 2022,26,Outside Central Region,01 to 05,26,2178,Private-Condominium-99 yrs lease commencing from 2022
PINETREE HILL,"2,456,000",968.76,"2,535",May-24,PINE GROVE,New Sale,Strata,90.0,"27,289",-,Condominium,1,99 yrs lease commencing from 2022,21,Rest of Central Region,11 to 15,21,2535,Private-Condominium-99 yrs lease commencing from 2022
HILLHAVEN,"1,363,060",678.13,"2,010",May-24,HILLVIEW RISE,New Sale,Strata,63.0,"21,636",-,Condominium,1,99 yrs lease commencing from 2023,23,Outside Central Region,01 to 05,23,2010,Private-Condominium-99 yrs lease commencing from 2023
LENTOR MANSION,"2,279,000","1,022.58","2,229",May-24,LENTOR GARDENS,New Sale,Strata,95.0,"23,989",-,Apartment,1,99 yrs lease commencing from 2023,26,Outside Central Region,06 to 10,26,2229,Private-Apartment-99 yrs lease commencing from 2023
THE BOTANY AT DAIRY FARM,"2,043,000","1,033.34","1,977",May-24,DAIRY FARM WALK,New Sale,Strata,96.0,"21,281",-,Condominium,1,99 yrs lease commencing from 2022,23,Outside Central Region,01 to 05,23,1977,Private-Condominium-99 yrs lease commencing from 2022
THE PALETTE,"1,010,000",753.48,"1,340",May-24,PASIR RIS GROVE,Resale,Strata,70.0,"14,429",-,Condominium,1,99 yrs lease commencing from 2010,18,Outside Central Region,01 to 05,18,1340,Private-Condominium-99 yrs lease commencing from 2010
PARC RIVIERA,"980,000",602.78,"1,626",May-24,WEST COAST VALE,Resale,Strata,56.0,"17,500",-,Condominium,1,99 yrs lease commencing from 2015,5,Outside Central Region,26 to 30,5,1626,Private-Condominium-99 yrs lease commencing from 2015
REGENT RESIDENCES,"1,300,000",807.3,"1,610",May-24,SERANGOON ROAD,Resale,Strata,75.0,"17,333",-,Apartment,1,Freehold,12,Rest of Central Region,06 to 10,12,1610,Private-Apartment-Freehold
THE BOTANY AT DAIRY FARM,"3,052,000","1,539.25","1,983",May-24,DAIRY FARM WALK,New Sale,Strata,143.0,"21,343",-,Condominium,1,99 yrs lease commencing from 2022,23,Outside Central Region,01 to 05,23,1983,Private-Condominium-99 yrs lease commencing from 2022
THE BOTANY AT DAIRY FARM,"2,297,000","1,076.4","2,134",May-24,DAIRY FARM WALK,New Sale,Strata,100.0,"22,970",-,Condominium,1,99 yrs lease commencing from 2022,23,Outside Central Region,01 to 05,23,2134,Private-Condominium-99 yrs lease commencing from 2022
WING FONG MANSIONS,"1,139,000","1,130.22","1,008",May-24,LORONG 14 GEYLANG,Resale,Strata,105.0,"10,848",-,Apartment,1,Freehold,14,Rest of Central Region,01 to 05,14,1008,Private-Apartment-Freehold
TANJONG RIA CONDOMINIUM,"1,567,000",968.76,"1,618",May-24,TANJONG RHU ROAD,Resale,Strata,90.0,"17,411",-,Condominium,1,99 yrs lease commencing from 1993,15,Rest of Central Region,01 to 05,15,1618,Private-Condominium-99 yrs lease commencing from 1993
THE MINTON,"1,580,000","1,087.16","1,453",May-24,HOUGANG STREET 11,Resale,Strata,101.0,"15,644",-,Condominium,1,99 yrs lease commencing from 2007,19,Outside Central Region,01 to 05,19,1453,Private-Condominium-99 yrs lease commencing from 2007
RIVERSAILS,"1,255,000",882.65,"1,422",May-24,UPPER SERANGOON CRESCENT,Resale,Strata,82.0,"15,305",-,Condominium,1,99 yrs lease commencing from 2011,19,Outside Central Region,11 to 15,19,1422,Private-Condominium-99 yrs lease commencing from 2011
FOREST WOODS,"1,240,000",635.08,"1,953",May-24,LORONG LEW LIAN,Resale,Strata,59.0,"21,017",-,Condominium,1,99 yrs lease commencing from 2016,19,Outside Central Region,01 to 05,19,1953,Private-Condominium-99 yrs lease commencing from 2016
LAGUNA GREEN,"2,120,000","1,550.02","1,368",May-24,JALAN HAJIJAH,Resale,Strata,144.0,"14,722",-,Condominium,1,99 yrs lease commencing from 1995,16,Outside Central Region,01 to 05,16,1368,Private-Condominium-99 yrs lease commencing from 1995
AFFINITY AT SERANGOON,"820,000",473.62,"1,731",May-24,SERANGOON NORTH AVENUE 1,Sub Sale,Strata,44.0,"18,636",-,Apartment,1,99 yrs lease commencing from 2018,19,Outside Central Region,06 to 10,19,1731,Private-Apartment-99 yrs lease commencing from 2018
THE MAYLEA,"2,060,000","1,205.57","1,709",May-24,PASIR PANJANG ROAD,Resale,Strata,112.0,"18,393",-,Condominium,1,Freehold,5,Rest of Central Region,01 to 05,5,1709,Private-Condominium-Freehold
PENROSE,"2,000,000","1,044.11","1,916",May-24,SIMS DRIVE,Sub Sale,Strata,97.0,"20,619",-,Apartment,1,99 yrs lease commencing from 2019,14,Rest of Central Region,01 to 05,14,1916,Private-Apartment-99 yrs lease commencing from 2019
ENCHANTÉ,"2,900,000","1,001.05","2,897",May-24,EVELYN ROAD,New Sale,Strata,93.0,"31,183",-,Apartment,1,Freehold,11,Core Central Region,06 to 10,11,2897,Private-Apartment-Freehold
OUE TWIN PEAKS,"1,140,000",548.96,"2,077",May-24,LEONIE HILL ROAD,Resale,Strata,51.0,"22,353",-,Condominium,1,99 yrs lease commencing from 2010,9,Core Central Region,01 to 05,9,2077,Private-Condominium-99 yrs lease commencing from 2010
THE ROCHESTER RESIDENCES,"1,930,000","1,216.33","1,587",May-24,ROCHESTER DRIVE,Resale,Strata,113.0,"17,080",-,Apartment,1,99 yrs lease commencing from 2005,5,Rest of Central Region,11 to 15,5,1587,Private-Apartment-99 yrs lease commencing from 2005
LENTOR HILLS RESIDENCES,"2,350,000","1,097.93","2,140",May-24,LENTOR HILLS ROAD,New Sale,Strata,102.0,"23,039",-,Apartment,1,99 yrs lease commencing from 2022,26,Outside Central Region,06 to 10,26,2140,Private-Apartment-99 yrs lease commencing from 2022
