Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,tenure_display,Postal District,Market Segment,Floor Level,postal_sector,price_psf,comparison_key
CHILTERN PARK,"1,330,000",936.47,"1,420",Aug-24,SERANGOON AVENUE 3,Resale,Strata,87.0,"15,287",-,Condominium,1,99 yrs lease commencing from 1991,19,Outside Central Region,01 to 05,19,1420,Private-Condominium-99 yrs lease commencing from 1991
MARGARET VILLE,"1,820,000",828.83,"2,196",Aug-24,MARGARET DRIVE,Resale,Strata,77.0,"23,636",-,Apartment,1,99 yrs lease commencing from 2017,3,Rest of Central Region,21 to 25,3,2196,Private-Apartment-99 yrs lease commencing from 2017
BOTANIQUE AT BARTLEY,"1,040,000",645.84,"1,610",Aug-24,UPPER PAYA LEBAR ROAD,Resale,Strata,60.0,"17,333",-,Condominium,1,99 yrs lease commencing from 2014,19,Outside Central Region,16 to 20,19,1610,Private-Condominium-99 yrs lease commencing from 2014
QUEENS PEAK,"1,128,000",495.14,"2,278",Aug-24,DUNDEE ROAD,Resale,Strata,46.0,"24,522",-,Condominium,1,99 yrs lease commencing from 2015,3,Rest of Central Region,11 to 15,3,2278,Private-Condominium-99 yrs lease commencing from 2015
CITY GATE,"1,160,000",559.73,"2,072",Aug-24,BEACH ROAD,Resale,Strata,52.0,"22,308",-,Apartment,1,99 yrs lease commencing from 2014,7,Rest of Central Region,06 to 10,7,2072,Private-Apartment-99 yrs lease commencing from 2014
OASIS @ ELIAS,"1,094,000",979.52,"1,117",Aug-24,ELIAS ROAD,Resale,Strata,91.0,"12,022",-,Condominium,1,99 yrs lease commencing from 2008,18,Outside Central Region,06 to 10,18,1117,Private-Condominium-99 yrs lease commencing from 2008
NORTHVALE,"1,128,000","1,087.16","1,038",Aug-24,CHOA CHU KANG LOOP,Resale,Strata,101.0,"11,168",-,Apartment,1,99 yrs lease commencing from 1995,23,Outside Central Region,01 to 05,23,1038,Private-Apartment-99 yrs lease commencing from 1995
CASHEW PARK CONDOMINIUM,"1,620,000","1,270.15","1,275",Aug-24,CASHEW ROAD,Resale,Strata,118.0,"13,729",-,Condominium,1,999 yrs lease commencing from 1882,23,Outside Central Region,01 to 05,23,1275,Private-Condominium-999 yrs lease commencing from 1882
HILLSTA,"1,480,000","1,087.16","1,361",Aug-24,PHOENIX ROAD,Resale,Strata,101.0,"14,653",-,Condominium,1,99 yrs lease commencing from 2011,23,Outside Central Region,06 to 10,23,1361,Private-Condominium-99 yrs lease commencing from 2011
CLAVON,"1,100,000",527.44,"2,086",Aug-24,CLEMENTI AVENUE 1,Sub Sale,Strata,49.0,"22,449",-,Apartment,1,99 yrs lease commencing from 2019,5,Outside Central Region,36 to 40,5,2086,Private-Apartment-99 yrs lease commencing from 2019
