Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
LANDED HOUSING DEVELOPMENT,"12,200,000","4,517.65","2,701",May-26,MERRYN ROAD,Resale,Land,419.7,"29,068",-,Detached House,1,Freehold,11,Core Central Region,-
TEACHERS' HOUSING ESTATE,"3,700,000","1,801.89","2,053",May-26,TAGORE AVENUE,Resale,Land,167.4,"22,103",-,Terrace House,1,999 yrs lease commencing from 1885,26,Outside Central Region,-
OPERA ESTATE,"8,998,888","2,790.03","3,225",May-26,JALAN KHAIRUDDIN,Resale,Land,259.2,"34,718",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"5,500,000","1,925.68","2,856",May-26,DUKU ROAD,Resale,Land,178.9,"30,743",-,Terrace House,1,Freehold,15,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,000,000","1,932.14","3,105",May-26,GREENWOOD WALK,Resale,Land,179.5,"33,426",-,Terrace House,1,Freehold,11,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"5,100,000","2,569.37","1,985",May-26,PASIR PANJANG HILL,Resale,Land,238.7,"21,366",-,Terrace House,1,Freehold,05,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,150,000","2,163.56","2,380",May-26,HUDDINGTON AVENUE,Resale,Land,201,"25,622",-,Terrace House,1,999 yrs lease commencing from 1955,19,Outside Central Region,-
SERANGOON GARDEN ESTATE,"4,600,000","2,329.33","1,975",May-26,JALAN PACHELI,Resale,Land,216.4,"21,257",-,Terrace House,1,Freehold,19,Outside Central Region,-
SEMBAWANG HILLS ESTATE,"6,350,000","2,011.79","3,156",May-26,JALAN LEBAN,Resale,Land,186.9,"33,975",-,Terrace House,1,Freehold,20,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,100,000","1,650.12","3,697",Apr-26,JALAN JINTAN,Resale,Land,153.3,"39,791",-,Terrace House,1,Freehold,09,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,530,000","1,697.48","2,669",Apr-26,TAI KENG GARDENS,Resale,Land,157.7,"28,725",-,Terrace House,1,Freehold,19,Outside Central Region,-
THE INGLEWOOD,"4,875,000","1,688.87","2,887",Apr-26,THE INGLEWOOD,Resale,Land,156.9,"31,071",-,Terrace House,1,Freehold,20,Rest of Central Region,-
BAN GUAN PARK,"20,000,000","6,162.39","3,245",Apr-26,GREENLEAF ROAD,Resale,Land,572.5,"34,934",-,Detached House,1,Freehold,10,Core Central Region,-
LANDED HOUSING DEVELOPMENT,"4,950,000","1,960.12","2,525",Apr-26,LIM AH PIN ROAD,Resale,Land,182.1,"27,183",-,Terrace House,1,Freehold,19,Outside Central Region,-
HOOVER PARK,"7,800,000","2,975.17","2,622",Apr-26,LORONG PISANG BATU,Resale,Land,276.4,"28,220",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
ALWYN PARK,"4,200,000","1,615.68","2,600",Apr-26,HONG LEE PLACE,Resale,Land,150.1,"27,981",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"9,128,000","3,432.42","2,659",Apr-26,THIRD STREET,New Sale,Land,318.88,"28,625",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"9,128,000","3,249.87","2,809",Apr-26,THIRD STREET,New Sale,Land,301.92,"30,233",-,Semi-Detached House,1,Freehold,15,Outside Central Region,-
TAI HWAN GARDEN,"4,618,000","1,846.03","2,502",Apr-26,TAI HWAN TERRACE,Resale,Land,171.5,"26,927",-,Terrace House,1,Freehold,19,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"6,800,000","2,168.41","3,136",Apr-26,BRIGHTON CRESCENT,New Sale,Land,201.45,"33,755",-,Terrace House,1,Freehold,19,Outside Central Region,-
FABER HILLS,"7,050,000","4,492.89","1,569",Apr-26,FABER DRIVE,Resale,Land,417.4,"16,890",-,Semi-Detached House,1,Freehold,05,Outside Central Region,-
FABER HILLS,"4,980,000","2,198.01","2,266",Apr-26,FABER DRIVE,Resale,Land,204.2,"24,388",-,Terrace House,1,Freehold,05,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"8,280,000","3,703.89","2,235",Apr-26,VALLEY ROAD,Resale,Land,344.1,"24,063",-,Semi-Detached House,1,Freehold,19,Outside Central Region,-
SOO CHOW GARDEN,"6,380,000","3,018.23","2,114",Apr-26,SOO CHOW VIEW,Resale,Land,280.4,"22,753",-,Terrace House,1,Freehold,20,Rest of Central Region,-
